,precision,recall,f1-score
AC/HC_Precurs,0.8333333333333334,0.9615384615384616,0.8928571428571429
Amacrine Cells,0.9880239520958084,0.9919839679358717,0.9899999999999999
Astrocytes,0.9642857142857143,1.0,0.9818181818181818
B-Cell,0.9824561403508771,0.9491525423728814,0.9655172413793103
Bipolar Cells,0.9382716049382716,0.9702127659574468,0.9539748953974895
Cones,0.8947368421052632,0.9357798165137615,0.9147982062780269
Early RPCs,0.0,0.0,0.0
Endothelial,0.7681159420289855,0.8153846153846154,0.7910447761194029
Fibroblasts,0.9518072289156626,0.9376854599406528,0.9446935724962631
Horizontal Cells,0.9795918367346939,0.9230769230769231,0.9504950495049506
Late RPCs,0.0,0.0,0.0
Macrophage,0.8407079646017699,0.9223300970873787,0.8796296296296297
Mast,0.7941176470588235,0.8181818181818182,0.8059701492537314
Melanocytes,0.8548387096774194,1.0,0.9217391304347826
Microglia,0.8,0.6956521739130435,0.7441860465116279
Monocyte,0.8181818181818182,0.8490566037735849,0.8333333333333334
Muller Glia,0.9904862579281184,0.9852786540483701,0.9878755930416447
NA,0.47368421052631576,0.225,0.30508474576271183
Natural Killer,0.8611111111111112,0.8857142857142857,0.8732394366197184
Neurogenic Cells,0.7111111111111111,0.5925925925925926,0.6464646464646464
Pericytes,0.8769230769230769,0.9344262295081968,0.9047619047619049
Photoreceptor Precursors,0.9104477611940298,0.7439024390243902,0.8187919463087248
RPCs,0.8704156479217604,0.9518716577540107,0.909323116219668
RPE,1.0,0.9230769230769231,0.9600000000000001
Red Blood Cells,0.967032967032967,0.9166666666666666,0.9411764705882353
Retinal Ganglion Cells,0.9852941176470589,0.9852941176470589,0.9852941176470589
Rod Bipolar Cells,0.7,0.5384615384615384,0.608695652173913
Rods,0.9917184265010351,0.9958419958419958,0.9937759336099584
Schwann,0.8297872340425532,0.7959183673469388,0.8125
T-Cell,0.9671361502347418,0.9856459330143541,0.976303317535545
Vein,0.8786127167630058,0.8397790055248618,0.8587570621468926
accuracy,0.9490466798159106,0.9490466798159106,0.9490466798159106
macro avg,0.8200719201046878,0.8086937307064072,0.8113581063836934
weighted avg,0.9458501260574845,0.9490466798159106,0.9466053669326464
